"","Name","Pos2","Age","Year","FG","Bhind_Arc","In_Arc","FreeT","OfReb","DefReb","Assist","Steal","Block","TOV","Fouls","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"2967","Treveon Graham","SG",23,2017,19,9,10,10,5,17,6,6,1,3,18,20.5431659105268,27.7141559301302,22.2824063931925,22.9026490056568,40.9113787289559,29.476611313622,18.8679307886936,1.08447782789377,13.7680981090175,62.3779921188628
"2968","Treveon Graham","SG",22,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4571938739425,12.2553144098082,13.0180687966935,20.4793886498465,22.7206692049587,20.6710547483549,16.4634730739742,-0.314782215653548,9.79120177722957,58.4693408685432
"2969","Treveon Graham","SG",21,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19891797972492,-8.09068049109069,0.924580817320603,16.8275699269038,0.516492699069843,9.10671899058912,12.918696067153,-2.28225795853323,4.30121289562585,52.896054130185
"2970","Treveon Graham","SG",20,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.2316617721261,-33.3238287725655,-13.9980575449255,11.9471928368285,-25.7011507887117,-5.21639595967576,8.23359976823026,-4.81794940074523,-2.70186853579405,45.6581319037884
"2971","Trevor Ariza","SF",33,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.861215811287,42.1847366659782,42.3307028347911,60.1272635219808,234.978587042797,150.48841069083,155.365071549514,41.0241719480012,84.190282700149,99.6454310619605
"2972","Trevor Ariza","SF",32,2018,268,170,98,76,33,261,105,98,13,52,132,146.498282351036,75.597428951423,61.3578690670264,69.9895868374961,256.922547337722,169.270646050553,164.363806755812,45.3070688977775,95.3443118665211,112.383134692025
"2973","Trevor Ariza","SF",31,2017,326,191,135,93,54,404,175,147,20,73,133,147.963045033152,104.122967856291,77.5558849163884,78.6233517858789,274.853040650755,185.294102217777,172.222222670008,49.0217501482214,104.985248483077,123.456202834052
"2974","Trevor Ariza","SF",30,2016,357,0.416,0.371,0.478,161,0.783,299,366,188,160,26,148.255503857634,127.761353380582,90.9247503828763,86.0285583671292,288.770066981896,198.558779192502,178.940319292103,52.1682156993329,113.113092549818,132.86463548804
"2975","Trevor Ariza","SF",29,2015,366,194,172,122,77,382,209,152,17,141,186,147.375658824483,146.512585524297,101.464465466491,92.2052065812469,298.673626331145,209.064676974728,184.518096622096,54.7464655511121,119.727844066742,140.608432653989
"2976","Trevor Ariza","SF",28,2014,389,180,209,149,99,376,191,126,20,132,179,145.323509933699,160.376664287435,109.175030167233,97.153296428232,304.563718698501,216.811795564455,188.955554659987,56.7564997035589,124.82950303385,146.687594331901
"2977","Trevor Booker","PF",31,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3098389570874,122.292056949437,25.9126051320332,113.498613724776,197.836788934152,101.841085845825,112.206987302125,36.6334661439956,59.8688379990455,96.0332439901916
"2978","Trevor Booker","PF",30,2018,177,8,169,66,117,201,82,28,21,59,120,16.6022977815697,145.930442473729,39.2814705985211,120.903820306026,211.753815265292,115.10576282055,118.92508392422,39.7799316951071,67.9966820657856,105.44167664418
"2979","Trevor Booker","PF",29,2017,305,25,280,74,143,428,138,75,28,127,152,15.7224527484188,164.681674617443,49.8211856821359,127.080468520144,221.657374614541,125.611660602776,124.502861254212,42.3581815468863,74.6114335827099,113.185473810129
