Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Giannis Antetokounmpo,PG,21,MIL,80,79,2823,513,1013,28,109,485,904,296,409,113,499,612,345,94,113,208,258,1350,,
Glenn Robinson,SF,22,IND,45,4,508,65,151,14,37,51,114,27,39,12,56,68,26,17,9,18,21,171,,
Goran Dragic,PG,29,MIA,72,72,2363,417,875,64,205,353,670,120,165,54,223,277,419,71,17,185,188,1018,,
Gordon Hayward,SF,25,UTA,80,80,2893,521,1202,143,410,378,792,393,477,61,336,397,296,95,27,202,183,1578,,
Gorgui Dieng,C,26,MIN,82,39,2220,308,579,6,20,302,559,205,248,157,428,585,143,94,96,140,219,827,,
Greg Monroe,C,25,MIL,79,67,2314,491,941,0,1,491,940,228,308,218,478,696,178,72,67,129,163,1210,,
Greg Smith,PF,25,MIN,18,0,192,18,32,0,0,18,32,7,17,12,30,42,6,4,1,7,28,43,,
Greivis Vasquez,PG,29,MIL,23,0,460,45,138,18,73,27,65,22,26,5,42,47,91,10,0,40,42,130,,
Harrison Barnes,SF,23,GSW,66,59,2042,295,633,82,214,213,419,102,134,77,248,325,117,41,10,57,136,774,,
Hassan Whiteside,C,26,MIA,73,43,2125,413,682,0,0,413,682,214,329,238,627,865,30,44,269,137,201,1040,,
Henry Sims,C,25,BRK,14,4,263,33,77,0,0,33,77,25,30,21,51,72,9,9,14,12,37,91,,
Hollis Thompson,SG,24,PHI,77,17,2154,270,680,149,392,121,288,69,96,54,218,272,99,36,24,76,187,758,,
Ian Clark,SG,24,GSW,66,1,578,89,202,30,84,59,118,28,34,13,55,68,64,17,13,43,58,236,,
Ian Mahinmi,C,29,IND,71,71,1816,264,448,0,0,264,448,132,225,138,369,507,104,65,75,100,220,660,,
Iman Shumpert,SG,25,CLE,54,5,1316,114,305,43,146,71,159,40,51,32,171,203,92,54,19,57,119,311,,
Isaiah Canaan,SG,24,PHI,77,39,1966,260,722,176,485,84,237,150,180,20,154,174,137,56,12,91,133,846,,
Isaiah Thomas,PG,26,BOS,82,79,2644,591,1382,167,465,424,917,474,544,46,197,243,509,91,9,220,167,1823,,
Ish Smith,PG,27,TOT,77,53,2239,397,967,56,170,341,797,122,176,43,262,305,502,88,24,175,133,972,,
J.J. Barea,PG,31,DAL,74,16,1667,317,711,100,260,217,451,74,96,26,126,152,302,26,2,113,110,808,,
J.J. Hickson,C,27,TOT,35,9,436,80,155,0,1,80,154,46,103,39,93,132,23,15,14,25,47,206,,
J.J. O'Brien,SF,23,UTA,2,0,6,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,,
J.J. Redick,SG,31,LAC,75,75,2097,422,880,200,421,222,459,182,205,10,129,139,106,42,5,78,135,1226,,
J.R. Smith,SG,30,CLE,77,77,2362,353,850,204,510,149,340,45,71,43,174,217,130,81,21,59,204,955,,
Jabari Parker,PF,20,MIL,76,72,2408,443,899,9,35,434,864,175,228,123,272,395,130,69,29,116,154,1070,,
