Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kenneth Faried,PF,28,DEN,32,7,461,76,148,0,1,76,147,36,51,68,85,153,18,12,13,23,51,188
Kent Bazemore,SG,28,ATL,65,65,1789,284,676,108,274,176,402,160,201,25,223,248,228,100,45,157,147,836
Kentavious Caldwell-Pope,SG,24,LAL,74,74,2458,340,798,159,415,181,383,153,194,60,327,387,162,106,16,97,145,992
Kevin Durant,PF,29,GSW,68,68,2325,630,1222,173,413,457,809,359,404,31,433,464,366,50,119,207,133,1792
Kevin Love,C,29,CLE,59,59,1651,334,729,137,330,197,399,234,266,101,445,546,103,43,24,90,120,1039
Kevon Looney,C,21,GSW,66,4,910,112,193,1,5,111,188,42,77,83,132,215,42,34,56,31,106,267
Khem Birch,C,25,ORL,42,0,578,68,126,0,0,68,126,42,61,70,110,180,34,15,21,21,56,178
Khris Middleton,SF,26,MIL,82,82,2982,593,1272,146,407,447,865,320,362,45,384,429,328,119,21,191,270,1652
Klay Thompson,SG,27,GSW,73,73,2506,575,1178,229,520,346,658,82,98,31,246,277,185,55,34,128,117,1461
Kobi Simmons,PG,20,MEM,32,12,643,80,189,11,39,69,150,25,25,14,36,50,68,18,5,44,61,196
Kosta Koufos,C,28,SAC,71,13,1391,222,389,0,0,222,389,33,74,149,323,472,87,47,32,49,146,477
Kris Dunn,PG,23,CHI,52,43,1525,286,666,43,134,243,532,84,115,24,197,221,310,104,27,150,175,699
Kristaps Porzingis,PF,22,NYK,48,48,1553,390,889,90,228,300,661,218,275,62,254,316,57,36,115,93,141,1088
Kyle Anderson,SF,24,SAS,74,67,1978,231,438,19,57,212,381,104,146,84,312,396,202,115,60,94,114,585
Kyle Collinsworth,SF,26,DAL,32,2,480,38,99,4,17,34,82,21,40,32,75,107,56,17,9,24,44,101
Kyle Korver,SG,36,CLE,73,4,1574,222,484,164,376,58,108,64,72,9,156,165,88,31,27,55,130,672
Kyle Kuzma,PF,22,LAL,77,37,2401,468,1039,159,434,309,605,147,208,88,395,483,141,49,34,140,160,1242
Kyle Lowry,PG,31,TOR,78,78,2510,403,944,238,596,165,348,223,261,66,368,434,537,85,19,183,192,1267
Kyle O'Quinn,C,27,NYK,77,10,1387,224,385,4,17,220,368,98,127,121,349,470,158,35,98,100,192,550
Kyle Singler,SF,29,OKC,12,0,59,7,21,2,5,5,16,7,13,1,9,10,2,1,0,3,4,23
Kyrie Irving,PG,25,BOS,60,60,1931,534,1087,166,407,368,680,232,261,33,194,227,306,65,17,140,122,1466
LaMarcus Aldridge,C,32,SAS,75,75,2509,687,1347,27,92,660,1255,334,399,246,389,635,152,43,90,111,162,1735
Lance Stephenson,SG,27,IND,82,7,1850,303,709,67,232,236,477,84,127,62,362,424,235,46,17,132,177,757
Lance Thomas,PF,29,NYK,73,31,1353,102,267,50,124,52,143,44,53,44,131,175,44,30,14,40,134,298
Langston Galloway,SG,26,DET,58,2,863,126,340,75,218,51,122,33,41,13,79,92,58,35,5,18,39,360
Larry Drew,PG,27,TOT,10,0,70,7,24,3,9,4,15,0,0,3,0,3,10,0,0,3,6,17
Larry Nance,C,25,TOT,66,27,1421,240,413,2,12,238,401,91,137,161,291,452,82,88,38,51,172,573
Lauri Markkanen,PF,20,CHI,68,68,2020,374,862,145,401,229,461,140,166,79,429,508,79,39,40,83,103,1033
LeBron James,PF,33,CLE,82,82,3026,857,1580,149,406,708,1174,388,531,97,612,709,747,116,71,347,135,2251
London Perrantes,PG,23,CLE,14,0,66,2,13,0,3,2,10,3,5,1,3,4,5,2,1,1,6,7
Lonzo Ball,PG,20,LAL,52,50,1780,203,564,90,295,113,269,32,71,69,291,360,376,88,43,136,117,528
Lorenzo Brown,PG,27,TOR,14,0,139,14,34,2,12,12,22,2,2,1,14,15,13,5,0,3,7,32
Lou Williams,SG,31,LAC,79,19,2589,582,1337,186,518,396,819,432,491,40,158,198,417,85,19,234,106,1782
Luc Mbah a Moute,PF,31,HOU,61,15,1564,166,345,63,173,103,172,65,95,22,164,186,55,72,25,69,100,460
Lucas Nogueira,C,25,TOR,49,3,418,49,80,5,19,44,61,19,28,18,69,87,22,23,43,16,49,122
Luis Montero,SG,24,DET,2,0,8,0,1,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0
Luke Babbitt,SF,28,TOT,50,14,715,91,215,60,156,31,59,17,22,7,89,96,31,8,7,19,54,259
Luke Kennard,SG,21,DET,73,9,1463,206,465,81,195,125,270,65,76,21,155,176,124,44,13,69,86,558
